Count_point_id,N_year,Year_start,Year_end,Max_year_gap
719,6627,22,2000,2021,1
720,6629,22,2000,2021,1
721,6630,22,2000,2021,1
722,6631,22,2000,2021,1
723,6632,22,2000,2021,1
724,6633,11,2000,2010,1
725,6634,22,2000,2021,1
726,6636,22,2000,2021,1
727,6637,22,2000,2021,1
728,6638,22,2000,2021,1
729,6639,22,2000,2021,1
730,6640,22,2000,2021,1
731,6642,22,2000,2021,1
732,6643,22,2000,2021,1
733,6644,22,2000,2021,1
734,6646,22,2000,2021,1
735,6648,22,2000,2021,1
736,6649,22,2000,2021,1
737,6650,22,2000,2021,1
738,6653,22,2000,2021,1
739,6656,22,2000,2021,1
740,6657,22,2000,2021,1
741,6658,22,2000,2021,1
742,6660,22,2000,2021,1
743,6661,22,2000,2021,1
744,6664,22,2000,2021,1
745,6665,22,2000,2021,1
746,6668,3,2000,2002,1
747,6669,22,2000,2021,1
748,6670,22,2000,2021,1
749,6672,22,2000,2021,1
750,6674,18,2000,2017,1
751,6676,22,2000,2021,1
752,6678,11,2000,2010,1
753,6680,20,2000,2019,1
754,6681,22,2000,2021,1
755,6684,22,2000,2021,1
756,6687,22,2000,2021,1
757,6688,22,2000,2021,1
758,6689,22,2000,2021,1
759,6690,22,2000,2021,1
760,6693,22,2000,2021,1
761,6695,22,2000,2021,1
762,6696,22,2000,2021,1
763,6699,22,2000,2021,1
764,6700,22,2000,2021,1
765,6701,22,2000,2021,1
766,6702,22,2000,2021,1
767,6703,22,2000,2021,1
768,6705,22,2000,2021,1
769,6706,22,2000,2021,1
770,6708,22,2000,2021,1
771,6709,15,2000,2014,1
772,6711,22,2000,2021,1
773,6712,22,2000,2021,1
774,6713,22,2000,2021,1
775,6715,22,2000,2021,1
776,6717,22,2000,2021,1
777,6718,17,2000,2016,1
778,6720,19,2000,2018,1
779,6723,18,2000,2017,1
780,6725,22,2000,2021,1
781,6727,22,2000,2021,1
782,6728,1,2000,2000,1
783,6730,22,2000,2021,1
784,6731,22,2000,2021,1
785,6732,22,2000,2021,1
786,6733,22,2000,2021,1
787,6734,22,2000,2021,1
788,6735,22,2000,2021,1
789,6736,22,2000,2021,1
790,6737,22,2000,2021,1
791,6738,11,2000,2010,1
792,6739,22,2000,2021,1
793,6740,22,2000,2021,1
794,6742,22,2000,2021,1
795,6743,22,2000,2021,1
796,6744,22,2000,2021,1
797,6745,22,2000,2021,1
798,6746,22,2000,2021,1
799,6748,22,2000,2021,1
800,6749,22,2000,2021,1
801,6750,22,2000,2021,1
802,6751,22,2000,2021,1
803,6752,22,2000,2021,1
804,6754,22,2000,2021,1
805,6755,22,2000,2021,1
806,6756,22,2000,2021,1
807,6757,22,2000,2021,1
808,6758,22,2000,2021,1
809,6760,22,2000,2021,1
810,6761,22,2000,2021,1
811,6762,22,2000,2021,1
812,6763,22,2000,2021,1
813,6764,22,2000,2021,1
814,6766,22,2000,2021,1
815,6767,22,2000,2021,1
816,6769,22,2000,2021,1
817,6770,22,2000,2021,1
818,6773,22,2000,2021,1
819,6774,22,2000,2021,1
820,6777,22,2000,2021,1
821,6778,22,2000,2021,1
822,6779,22,2000,2021,1
823,6780,22,2000,2021,1
824,6782,22,2000,2021,1
825,6783,22,2000,2021,1
826,6785,22,2000,2021,1
827,6786,22,2000,2021,1
828,6787,22,2000,2021,1
829,6789,22,2000,2021,1
830,6791,22,2000,2021,1
831,6792,22,2000,2021,1
832,6794,22,2000,2021,1
833,6797,22,2000,2021,1
834,6800,22,2000,2021,1
835,6801,22,2000,2021,1
836,6802,22,2000,2021,1
837,6804,22,2000,2021,1
838,6805,22,2000,2021,1
839,6807,22,2000,2021,1
840,6816,22,2000,2021,1
841,6817,22,2000,2021,1
842,6819,22,2000,2021,1
843,6820,19,2000,2018,1
844,6821,22,2000,2021,1
845,6822,22,2000,2021,1
846,6824,22,2000,2021,1
847,6826,22,2000,2021,1
848,6827,22,2000,2021,1
849,6828,22,2000,2021,1
850,6830,22,2000,2021,1
851,6833,22,2000,2021,1
852,6834,22,2000,2021,1
853,6836,22,2000,2021,1
854,6837,22,2000,2021,1
855,6839,22,2000,2021,1
856,6842,22,2000,2021,1
857,6843,22,2000,2021,1
858,6844,16,2000,2015,1
859,6845,22,2000,2021,1
860,6846,15,2000,2014,1
861,6848,22,2000,2021,1
862,6849,22,2000,2021,1
863,6851,22,2000,2021,1
864,6852,22,2000,2021,1
865,6854,3,2000,2002,1
866,6856,22,2000,2021,1
867,6857,22,2000,2021,1
868,6858,22,2000,2021,1
869,6859,22,2000,2021,1
870,6862,22,2000,2021,1
871,6865,22,2000,2021,1
872,6866,22,2000,2021,1
873,6867,22,2000,2021,1
874,6870,22,2000,2021,1
875,6871,22,2000,2021,1
876,6872,22,2000,2021,1
877,6874,22,2000,2021,1
878,6876,22,2000,2021,1
879,6877,22,2000,2021,1
880,6878,22,2000,2021,1
881,6879,22,2000,2021,1
882,6880,22,2000,2021,1
883,6882,22,2000,2021,1
884,6884,22,2000,2021,1
885,6886,22,2000,2021,1
886,6889,22,2000,2021,1
887,6890,22,2000,2021,1
888,6891,22,2000,2021,1
889,6892,22,2000,2021,1
890,6893,22,2000,2021,1
891,6895,22,2000,2021,1
892,6896,22,2000,2021,1
893,6897,22,2000,2021,1
894,6898,22,2000,2021,1
895,6899,22,2000,2021,1
896,6901,18,2000,2017,1
897,6902,22,2000,2021,1
898,6904,22,2000,2021,1
899,6905,22,2000,2021,1
900,6907,22,2000,2021,1
901,6910,22,2000,2021,1
902,6912,22,2000,2021,1
903,6921,22,2000,2021,1
904,6923,22,2000,2021,1
905,6924,22,2000,2021,1
906,6925,22,2000,2021,1
907,6926,22,2000,2021,1
908,6927,22,2000,2021,1
909,6928,22,2000,2021,1
910,6932,22,2000,2021,1
911,6933,22,2000,2021,1
912,6934,22,2000,2021,1
913,6935,22,2000,2021,1
914,6936,22,2000,2021,1
915,6938,22,2000,2021,1
916,6941,22,2000,2021,1
917,6942,22,2000,2021,1
918,6944,22,2000,2021,1
919,6947,22,2000,2021,1
920,6948,22,2000,2021,1
921,6949,22,2000,2021,1
922,6950,22,2000,2021,1
923,6952,22,2000,2021,1
924,6955,22,2000,2021,1
925,6956,22,2000,2021,1
926,6959,22,2000,2021,1
927,6961,20,2000,2019,1
928,6962,20,2000,2019,1
929,6963,22,2000,2021,1
930,6966,11,2000,2010,1
931,6967,22,2000,2021,1
932,6968,22,2000,2021,1
933,6970,22,2000,2021,1
